Name,Set Name,Number,Type,HP,Stage,Rarity,1st Edition,Shadowless,Unlimited,Rev Holo,Additional
Electrode,Jungle,18,Lightning,90,Stage 1,Rare,,-,,-,
Flareon,Jungle,19,Fire,70,Stage 1,Rare,,-,,-,
Jolteon,Jungle,20,Lightning,70,Stage 1,Rare,,-,,-,
Kangaskhan,Jungle,21,Colorless,90,Basic,Rare,,-,,-,
Mr. Mime,Jungle,22,Psychic,40,Basic,Rare,,-,,-,
Nidoqueen,Jungle,23,Grass,90,Stage 2,Rare,,-,,-,
Pidgeot,Jungle,24,Colorless,80,Stage 2,Rare,,-,,-,
Pinsir,Jungle,25,Grass,60,Basic,Rare,,-,,-,
Scyther,Jungle,26,Grass,70,Basic,Rare,,-,,-,
Snorlax,Jungle,27,Colorless,90,Basic,Rare,,-,,-,
Vaporeon,Jungle,28,Water,80,Stage 1,Rare,,-,,-,
Venomoth,Jungle,29,Grass,70,Stage 1,Rare,,-,,-,
Victreebel,Jungle,30,Grass,80,Stage 2,Rare,,-,,-,
Vileplume,Jungle,31,Grass,80,Stage 2,Rare,,-,,-,
Wigglytuff,Jungle,32,Colorless,80,Stage 1,Rare,,-,,-,
Butterfree,Jungle,33,Grass,70,Stage 2,Uncommon,,-,,-,
Dodrio,Jungle,34,Colorless,70,Stage 1,Uncommon,,-,,-,
Exeggutor,Jungle,35,Grass,80,Stage 1,Uncommon,,-,,-,
Fearow,Jungle,36,Colorless,70,Stage 1,Uncommon,,-,,-,
Gloom,Jungle,37,Grass,60,Stage 1,Uncommon,,-,,-,
Lickitung,Jungle,38,Colorless,90,Basic,Uncommon,,-,,-,
Marowak,Jungle,39,Fighting,60,Stage 1,Uncommon,,-,,-,
Nidorina,Jungle,40,Grass,70,Stage 1,Uncommon,,-,,-,
Parasect,Jungle,41,Grass,60,Stage 1,Uncommon,,-,,-,
Persian,Jungle,42,Colorless,70,Stage 1,Uncommon,,-,,-,
Primeape,Jungle,43,Fighting,70,Stage 1,Uncommon,,-,,-,
Rapidash,Jungle,44,Fire,70,Stage 1,Uncommon,,-,,-,
Rhydon,Jungle,45,Fighting,100,Stage 1,Uncommon,,-,,-,
Seaking,Jungle,46,Water,70,Stage 1,Uncommon,,-,,-,
Tauros,Jungle,47,Colorless,60,Basic,Uncommon,,-,,-,
Weepinbell,Jungle,48,Grass,70,Stage 1,Uncommon,,-,,-,
Bellsprout,Jungle,49,Grass,40,Basic,Common,,-,,-,
Cubone,Jungle,50,Fighting,40,Basic,Common,,-,,-,
Eevee,Jungle,51,Colorless,50,Basic,Common,,-,,-,
Exeggcute,Jungle,52,Grass,50,Basic,Common,,-,,-,
Goldeen,Jungle,53,Water,40,Basic,Common,,-,,-,
Jigglypuff,Jungle,54,Colorless,60,Basic,Common,,-,,-,
Mankey,Jungle,55,Fighting,30,Basic,Common,,-,,-,
Meowth,Jungle,56,Colorless,50,Basic,Common,,-,,-,
Nidoran F,Jungle,57,Grass,60,Basic,Common,,-,,-,
Oddish,Jungle,58,Grass,50,Basic,Common,,-,,-,
Paras,Jungle,59,Grass,40,Basic,Common,,-,,-,
Pikachu,Jungle,60,Lightning,50,Basic,Common,,-,,-,
Rhyhorn,Jungle,61,Fighting,70,Basic,Common,,-,,-,
Spearow,Jungle,62,Colorless,50,Basic,Common,,-,,-,
Venonat,Jungle,63,Grass,40,Basic,Common,,-,,-,
Poké Ball,Jungle,64,Trainer,,Trainer,Common,,-,,-,
Aerodactyl,Fossil,1,Fighting,60,Stage 1,Holo Rare,,-,,-,-
Articuno,Fossil,2,Water,70,Basic,Holo Rare,,-,,-,-
Ditto,Fossil,3,Colorless,50,Basic,Holo Rare,,-,,-,-
Dragonite,Fossil,4,Colorless,100,Stage 2,Holo Rare,,-,,-,-
Gengar,Fossil,5,Psychic,80,Stage 2,Holo Rare,,-,,-,-
Haunter,Fossil,6,Psychic,50,Stage 1,Holo Rare,,-,,-,-
Hitmonlee,Fossil,7,Fighting,60,Basic,Holo Rare,,-,,-,-
Hypno,Fossil,8,Psychic,90,Stage 1,Holo Rare,,-,,-,-
Kabutops,Fossil,9,Fighting,60,Stage 2,Holo Rare,,-,,-,-
Lapras,Fossil,10,Water,80,Basic,Holo Rare,,-,,-,-
Magneton,Fossil,11,Lightning,80,Stage 1,Holo Rare,,-,,-,-
Moltres,Fossil,12,Fire,70,Basic,Holo Rare,,-,,-,-
Muk,Fossil,13,Grass,70,Stage 1,Holo Rare,,-,,-,-
Raichu,Fossil,14,Lightning,90,Stage 1,Holo Rare,,-,,-,-
Zapdos,Fossil,15,Lightning,80,Basic,Holo Rare,,-,,-,-
Aerodactyl,Fossil,16,Fighting,60,Stage 1,Rare,,-,,-,
Articuno,Fossil,17,Water,70,Basic,Rare,,-,,-,
Ditto,Fossil,18,Colorless,50,Basic,Rare,,-,,-,
Dragonite,Fossil,19,Colorless,100,Stage 2,Rare,,-,,-,
Gengar,Fossil,20,Psychic,80,Stage 2,Rare,,-,,-,
Haunter,Fossil,21,Psychic,50,Stage 1,Rare,,-,,-,
Hitmonlee,Fossil,22,Fighting,60,Basic,Rare,,-,,-,
Hypno,Fossil,23,Psychic,90,Stage 1,Rare,,-,,-,
Kabutops,Fossil,24,Fighting,60,Stage 2,Rare,,-,,-,
Lapras,Fossil,25,Water,80,Basic,Rare,,-,,-,
Magneton,Fossil,26,Lightning,80,Stage 1,Rare,,-,,-,
Moltres,Fossil,27,Fire,70,Basic,Rare,,-,,-,
Muk,Fossil,28,Grass,70,Stage 1,Rare,,-,,-,
Raichu,Fossil,29,Lightning,90,Stage 1,Rare,,-,,-,
Zapdos,Fossil,30,Lightning,80,Basic,Rare,,-,,-,
Arbok,Fossil,31,Grass,60,Stage 1,Uncommon,,-,,-,
Cloyster,Fossil,32,Water,50,Stage 1,Uncommon,,-,,-,
Gastly,Fossil,33,Psychic,50,Basic,Uncommon,,-,,-,
Golbat,Fossil,34,Grass,60,Stage 1,Uncommon,,-,,-,
Golduck,Fossil,35,Water,70,Stage 1,Uncommon,,-,,-,
Golem,Fossil,36,Fighting,80,Stage 2,Uncommon,,-,,-,
Graveler,Fossil,37,Fighting,60,Stage 1,Uncommon,,-,,-,
Kingler,Fossil,38,Water,60,Stage 1,Uncommon,,-,,-,
Magmar,Fossil,39,Fire,70,Basic,Uncommon,,-,,-,
Omastar,Fossil,40,Water,70,Stage 2,Uncommon,,-,,-,
Sandslash,Fossil,41,Fighting,70,Stage 1,Uncommon,,-,,-,
Seadra,Fossil,42,Water,60,Stage 1,Uncommon,,-,,-,
Slowbro,Fossil,43,Psychic,60,Stage 1,Uncommon,,-,,-,
Tentacruel,Fossil,44,Water,60,Stage 1,Uncommon,,-,,-,
Weezing,Fossil,45,Grass,60,Stage 1,Uncommon,,-,,-,
Ekans,Fossil,46,Grass,40,Basic,Common,,-,,-,
Geodude,Fossil,47,Fighting,50,Basic,Common,,-,,-,
Grimer,Fossil,48,Grass,50,Basic,Common,,-,,-,
Horsea,Fossil,49,Water,40,Basic,Common,,-,,-,
Kabuto,Fossil,50,Fighting,30,Stage 1,Common,,-,,-,
Krabby,Fossil,51,Water,50,Basic,Common,,-,,-,
Omanyte,Fossil,52,Water,40,Stage 1,Common,,-,,-,
Psyduck,Fossil,53,Water,50,Basic,Common,,-,,-,
Shellder,Fossil,54,Water,30,Basic,Common,,-,,-,
Slowpoke,Fossil,55,Psychic,50,Basic,Common,,-,,-,
Tentacool,Fossil,56,Water,30,Basic,Common,,-,,-,
Zubat,Fossil,57,Grass,40,Basic,Common,,-,,-,
Mr. Fuji,Fossil,58,Trainer,,Trainer,Uncommon,,-,,-,
Energy Search,Fossil,59,Trainer,,Trainer,Common,,-,,-,
Gambler,Fossil,60,Trainer,,Trainer,Common,,-,,-,
Recycle,Fossil,61,Trainer,,Trainer,Common,,-,,-,
Mysterious Fossil,Fossil,62,Trainer,10,Trainer,Common,,-,,-,
Alakazam,Base Set 2,1,Psychic,80,Stage 2,Holo Rare,-,-,,-,
Blastoise,Base Set 2,2,Water,100,Stage 2,Holo Rare,-,-,,-,
Chansey,Base Set 2,3,Colorless,120,Basic,Holo Rare,-,-,,-,
Charizard,Base Set 2,4,Fire,120,Stage 2,Holo Rare,-,-,,-,
Clefable,Base Set 2,5,Colorless,70,Stage 1,Holo Rare,-,-,,-,
Clefairy,Base Set 2,6,Colorless,40,Basic,Holo Rare,-,-,,-,
Gyarados,Base Set 2,7,Water,100,Stage 1,Holo Rare,-,-,,-,
Hitmonchan,Base Set 2,8,Fighting,70,Basic,Holo Rare,-,-,,-,
Magneton,Base Set 2,9,Lightning,60,Stage 1,Holo Rare,-,-,,-,
Mewtwo,Base Set 2,10,Psychic,60,Basic,Holo Rare,-,-,,-,
Nidoking,Base Set 2,11,Grass,90,Stage 2,Holo Rare,-,-,,-,
Nidoqueen,Base Set 2,12,Grass,90,Stage 2,Holo Rare,-,-,,-,
Ninetales,Base Set 2,13,Fire,80,Stage 1,Holo Rare,-,-,,-,
Pidgeot,Base Set 2,14,Colorless,80,Stage 2,Holo Rare,-,-,,-,
Poliwrath,Base Set 2,15,Water,90,Stage 2,Holo Rare,-,-,,-,
Raichu,Base Set 2,16,Lightning,80,Stage 1,Holo Rare,-,-,,-,
Scyther,Base Set 2,17,Grass,70,Basic,Holo Rare,-,-,,-,
Venusaur,Base Set 2,18,Grass,100,Stage 2,Holo Rare,-,-,,-,
Wigglytuff,Base Set 2,19,Colorless,80,Stage 1,Holo Rare,-,-,,-,
Zapdos,Base Set 2,20,Lightning,90,Basic,Holo Rare,-,-,,-,
Beedrill,Base Set 2,21,Grass,80,Stage 2,Rare,-,-,,-,
Dragonair,Base Set 2,22,Colorless,80,Stage 1,Rare,-,-,,-,
Dugtrio,Base Set 2,23,Fighting,70,Stage 1,Rare,-,-,,-,
Electabuzz,Base Set 2,24,Lightning,70,Basic,Rare,-,-,,-,
Electrode,Base Set 2,25,Lightning,80,Stage 1,Rare,-,-,,-,
Kangaskhan,Base Set 2,26,Colorless,90,Basic,Rare,-,-,,-,
Mr. Mime,Base Set 2,27,Psychic,40,Basic,Rare,-,-,,-,
Pidgeotto,Base Set 2,28,Colorless,60,Stage 1,Rare,-,-,,-,
Pinsir,Base Set 2,29,Grass,60,Basic,Rare,-,-,,-,
Snorlax,Base Set 2,30,Colorless,90,Basic,Rare,-,-,,-,
Venomoth,Base Set 2,31,Grass,70,Stage 1,Rare,-,-,,-,
Victreebel,Base Set 2,32,Grass,80,Stage 2,Rare,-,-,,-,
Arcanine,Base Set 2,33,Fire,100,Stage 1,Uncommon,-,-,,-,
Butterfree,Base Set 2,34,Grass,70,Stage 2,Uncommon,-,-,,-,
Charmeleon,Base Set 2,35,Fire,80,Stage 1,Uncommon,-,-,,-,
Dewgong,Base Set 2,36,Water,80,Stage 1,Uncommon,-,-,,-,
Dodrio,Base Set 2,37,Colorless,70,Stage 1,Uncommon,-,-,,-,
Dratini,Base Set 2,38,Colorless,40,Basic,Uncommon,-,-,,-,
Exeggutor,Base Set 2,39,Grass,80,Stage 1,Uncommon,-,-,,-,
Farfetch'd,Base Set 2,40,Colorless,50,Basic,Uncommon,-,-,,-,
Fearow,Base Set 2,41,Colorless,70,Stage 1,Uncommon,-,-,,-,
Growlithe,Base Set 2,42,Fire,60,Basic,Uncommon,-,-,,-,
Haunter,Base Set 2,43,Psychic,60,Stage 1,Uncommon,-,-,,-,
Ivysaur,Base Set 2,44,Grass,60,Stage 1,Uncommon,-,-,,-,
Jynx,Base Set 2,45,Psychic,70,Basic,Uncommon,-,-,,-,
Kadabra,Base Set 2,46,Psychic,60,Stage 1,Uncommon,-,-,,-,
Kakuna,Base Set 2,47,Grass,80,Stage 1,Uncommon,-,-,,-,
Lickitung,Base Set 2,48,Colorless,90,Basic,Uncommon,-,-,,-,
Machoke,Base Set 2,49,Fighting,80,Stage 1,Uncommon,-,-,,-,
Magikarp,Base Set 2,50,Water,30,Basic,Uncommon,-,-,,-,
Magmar,Base Set 2,51,Fire,50,Basic,Uncommon,-,-,,-,
Marowak,Base Set 2,52,Fighting,60,Stage 1,Uncommon,-,-,,-,
Nidorina,Base Set 2,53,Grass,70,Stage 1,Uncommon,-,-,,-,
Nidorino,Base Set 2,54,Grass,60,Stage 1,Uncommon,-,-,,-,
Parasect,Base Set 2,55,Grass,60,Stage 1,Uncommon,-,-,,-,
Persian,Base Set 2,56,Colorless,70,Stage 1,Uncommon,-,-,,-,
Poliwhirl,Base Set 2,57,Water,60,Stage 1,Uncommon,-,-,,-,
Raticate,Base Set 2,58,Colorless,60,Stage 1,Uncommon,-,-,,-,
Rhydon,Base Set 2,59,Fighting,100,Stage 1,Uncommon,-,-,,-,
Seaking,Base Set 2,60,Water,70,Stage 1,Uncommon,-,-,,-,
Seel,Base Set 2,61,Water,60,Basic,Uncommon,-,-,,-,
Tauros,Base Set 2,62,Colorless,60,Basic,Uncommon,-,-,,-,
Wartortle,Base Set 2,63,Water,70,Stage 1,Uncommon,-,-,,-,
Weepinbell,Base Set 2,64,Grass,70,Stage 1,Uncommon,-,-,,-,
Abra,Base Set 2,65,Psychic,30,Basic,Common,-,-,,-,
Bellsprout,Base Set 2,66,Grass,40,Basic,Common,-,-,,-,
Bulbasaur,Base Set 2,67,Grass,40,Basic,Common,-,-,,-,
Caterpie,Base Set 2,68,Grass,40,Basic,Common,-,-,,-,
Charmander,Base Set 2,69,Fire,50,Basic,Common,-,-,,-,
Cubone,Base Set 2,70,Fighting,40,Basic,Common,-,-,,-,
Diglett,Base Set 2,71,Fighting,30,Basic,Common,-,-,,-,
Doduo,Base Set 2,72,Colorless,50,Basic,Common,-,-,,-,
Drowzee,Base Set 2,73,Psychic,50,Basic,Common,-,-,,-,
Exeggcute,Base Set 2,74,Grass,50,Basic,Common,-,-,,-,
Gastly,Base Set 2,75,Psychic,30,Basic,Common,-,-,,-,
Goldeen,Base Set 2,76,Water,40,Basic,Common,-,-,,-,
Jigglypuff,Base Set 2,77,Colorless,60,Basic,Common,-,-,,-,
Machop,Base Set 2,78,Fighting,50,Basic,Common,-,-,,-,
Magnemite,Base Set 2,79,Lightning,40,Basic,Common,-,-,,-,
Meowth,Base Set 2,80,Colorless,50,Basic,Common,-,-,,-,
Metapod,Base Set 2,81,Grass,70,Stage 1,Common,-,-,,-,
Nidoran♀,Base Set 2,82,Grass,60,Basic,Common,-,-,,-,
Nidoran♂,Base Set 2,83,Grass,40,Basic,Common,-,-,,-,
Onix,Base Set 2,84,Fighting,90,Basic,Common,-,-,,-,
Paras,Base Set 2,85,Grass,40,Basic,Common,-,-,,-,
Pidgey,Base Set 2,86,Colorless,40,Basic,Common,-,-,,-,
Pikachu,Base Set 2,87,Lightning,40,Basic,Common,-,-,,-,
Poliwag,Base Set 2,88,Water,40,Basic,Common,-,-,,-,
Rattata,Base Set 2,89,Colorless,30,Basic,Common,-,-,,-,
Rhyhorn,Base Set 2,90,Fighting,70,Basic,Common,-,-,,-,
Sandshrew,Base Set 2,91,Fighting,40,Basic,Common,-,-,,-,
Spearow,Base Set 2,92,Colorless,50,Basic,Common,-,-,,-,
Squirtle,Base Set 2,93,Water,40,Basic,Common,-,-,,-,
Starmie,Base Set 2,94,Water,60,Stage 1,Common,-,-,,-,
Staryu,Base Set 2,95,Water,40,Basic,Common,-,-,,-,
Tangela,Base Set 2,96,Grass,50,Basic,Common,-,-,,-,
Venonat,Base Set 2,97,Grass,40,Basic,Common,-,-,,-,
Voltorb,Base Set 2,98,Lightning,40,Basic,Common,-,-,,-,
Vulpix,Base Set 2,99,Fire,50,Basic,Common,-,-,,-,
Weedle,Base Set 2,100,Grass,40,Basic,Common,-,-,,-,
Computer Search,Base Set 2,101,Trainer,,Trainer,Rare,-,-,,-,
Impostor Professor Oak,Base Set 2,102,Trainer,,Trainer,Rare,-,-,,-,
Item Finder,Base Set 2,103,Trainer,,Trainer,Rare,-,-,,-,
Lass,Base Set 2,104,Trainer,,Trainer,Rare,-,-,,-,
Pokémon Breeder,Base Set 2,105,Trainer,,Trainer,Rare,-,-,,-,
Pokémon Trader,Base Set 2,106,Trainer,,Trainer,Rare,-,-,,-,
Scoop Up,Base Set 2,107,Trainer,,Trainer,Rare,-,-,,-,
Super Energy Removal,Base Set 2,108,Trainer,,Trainer,Rare,-,-,,-,
Defender,Base Set 2,109,Trainer,,Trainer,Uncommon,-,-,,-,
Energy Retrieval,Base Set 2,110,Trainer,,Trainer,Uncommon,-,-,,-,
Full Heal,Base Set 2,111,Trainer,,Trainer,Uncommon,-,-,,-,
Maintenance,Base Set 2,112,Trainer,,Trainer,Uncommon,-,-,,-,
PlusPower,Base Set 2,113,Trainer,,Trainer,Uncommon,-,-,,-,
Pokémon Center,Base Set 2,114,Trainer,,Trainer,Uncommon,-,-,,-,
Pokédex,Base Set 2,115,Trainer,,Trainer,Uncommon,-,-,,-,
Professor Oak,Base Set 2,116,Trainer,,Trainer,Uncommon,-,-,,-,
Super Potion,Base Set 2,117,Trainer,,Trainer,Uncommon,-,-,,-,
Bill,Base Set 2,118,Trainer,,Trainer,Common,-,-,,-,
Energy Removal,Base Set 2,119,Trainer,,Trainer,Common,-,-,,-,
Gust of Wind,Base Set 2,120,Trainer,,Trainer,Common,-,-,,-,
Poké Ball,Base Set 2,121,Trainer,,Trainer,Common,-,-,,-,
Potion,Base Set 2,122,Trainer,,Trainer,Common,-,-,,-,
Switch,Base Set 2,123,Trainer,,Trainer,Common,-,-,,-,
Double Colorless Energy,Base Set 2,124,Energy,,Special Energy,Uncommon,-,-,,-,
Fighting Energy,Base Set 2,125,Energy,,Energy,Common,-,-,,-,
Fire Energy,Base Set 2,126,Energy,,Energy,Common,-,-,,-,
Grass Energy,Base Set 2,127,Energy,,Energy,Common,-,-,,-,
Lightning Energy,Base Set 2,128,Energy,,Energy,Common,-,-,,-,
Psychic Energy,Base Set 2,129,Energy,,Energy,Common,-,-,,-,
Water Energy,Base Set 2,130,Energy,,Energy,Common,-,-,,-,
Dark Alakazam,Team Rocket,1,Psychic,60,Stage 2,Holo Rare,,-,,-,
Dark Arbok,Team Rocket,2,Grass,60,Stage 1,Holo Rare,,-,,-,
Dark Blastoise,Team Rocket,3,Water,70,Stage 2,Holo Rare,,-,,-,
Dark Charizard,Team Rocket,4,Fire,80,Stage 2,Holo Rare,,-,,-,
Dark Dragonite,Team Rocket,5,Colorless,70,Stage 2,Holo Rare,,-,,-,
Dark Dugtrio,Team Rocket,6,Fighting,50,Stage 1,Holo Rare,,-,,-,
Dark Golbat,Team Rocket,7,Grass,50,Stage 1,Holo Rare,,-,,-,
Dark Gyarados,Team Rocket,8,Water,70,Stage 1,Holo Rare,,-,,-,
Dark Hypno,Team Rocket,9,Psychic,60,Stage 1,Holo Rare,,-,,-,
Dark Machamp,Team Rocket,10,Fighting,70,Stage 2,Holo Rare,,-,,-,
Dark Magneton,Team Rocket,11,Lightning,60,Stage 1,Holo Rare,,-,,-,
Dark Slowbro,Team Rocket,12,Psychic,60,Stage 1,Holo Rare,,-,,-,
Dark Vileplume,Team Rocket,13,Grass,60,Stage 2,Holo Rare,,-,,-,
Dark Weezing,Team Rocket,14,Grass,60,Stage 1,Holo Rare,,-,,-,
