Name,Set Name,Number,Type,HP,Stage,Rarity,Description,Have,Holo
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP25,Trainer,,Trainer,,Staff Stamp,,-
Dialga,DP Black Star Promos,DP26,Metal,90,Basic,,,,-
Palkia,DP Black Star Promos,DP27,Water,90,Basic,,,,-
Mewtwo Lv.X,DP Black Star Promos,DP28,Psychic,120,Level Up,,,,-
Rhyperior Lv.X,DP Black Star Promos,DP29,Fighting,170,Level Up,,,,-
Regigigas Lv.X,DP Black Star Promos,DP30,Colorless,150,Level Up,,,,-
Heatran Lv.X,DP Black Star Promos,DP31,Fire,120,Level Up,,,,-
Magnezone,DP Black Star Promos,DP32,Metal,130,Stage 2,,,,-
Dusknoir,DP Black Star Promos,DP33,Psychic,130,Stage 2,,,,-
Drifblim,DP Black Star Promos,DP34,Psychic,80,Stage 1,,,,-
Porygon-Z,DP Black Star Promos,DP35,Colorless,120,Stage 2,,,,-
Gliscor,DP Black Star Promos,DP36,Fighting,90,Stage 1,,,,-
Dialga Lv.X,DP Black Star Promos,DP37,Metal,110,Level Up,,,,-
Giratina Lv.X,DP Black Star Promos,DP38,Psychic,130,Level Up,,,,-
Shaymin Lv.X,DP Black Star Promos,DP39,Grass,110,Level Up,,,,-
Regigigas,DP Black Star Promos,DP40,Colorless,100,Basic,,,,-
Toxicroak G,DP Black Star Promos,DP41,Fighting,90,Basic,,,,-
Carnivine G,DP Black Star Promos,DP42,Grass,80,Basic,,,,-
Probopass G,DP Black Star Promos,DP43,Fighting,90,Basic,,,,-
Magnezone,DP Black Star Promos,DP44,Lightning,130,Stage 2,,,,-
Charizard G Lv.X,DP Black Star Promos,DP45,Fire,120,Level Up,,,,-
Garchomp C Lv.X,DP Black Star Promos,DP46,Colorless,110,Level Up,,,,-
Rayquaza C Lv.X,DP Black Star Promos,DP47,Colorless,120,Level Up,,,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Wind,DP Black Star Promos,DP48,Trainer,,Trainer,,Staff Stamp,,-
Dialga,DP Black Star Promos,DP49,Metal,100,Basic,,,,-
Arceus,DP Black Star Promos,DP50,Colorless,90,Basic,,,,-
Cresselia,DP Black Star Promos,DP51,Psychic,90,Basic,,,,-
Darkrai,DP Black Star Promos,DP52,Darkness,90,Basic,,,,-
Arceus Lv.X,DP Black Star Promos,DP53,Colorless,120,Level Up,,,,-
Arceus Lv.X,DP Black Star Promos,DP56,Colorless,120,Level Up,,,,-
Ho-Oh,HGSS Black Star Promos,HGSS01,Fire,100,Basic,,,,-
Lugia,HGSS Black Star Promos,HGSS02,Water,90,Basic,,,,-
Pikachu,HGSS Black Star Promos,HGSS03,Lightning,70,Basic,,,,-
Wobbuffet,HGSS Black Star Promos,HGSS04,Psychic,90,Basic,,,,-
Hoothoot,HGSS Black Star Promos,HGSS05,Colorless,50,Basic,,,,-
Noctowl,HGSS Black Star Promos,HGSS06,Colorless,90,Stage 1,,,,-
Feraligatr,HGSS Black Star Promos,HGSS07,Water,140,Stage 2,,,,-
Meganium,HGSS Black Star Promos,HGSS08,Grass,150,Stage 2,,,,-
Typhlosion,HGSS Black Star Promos,HGSS09,Fire,140,Stage 2,,,,-
Latias,HGSS Black Star Promos,HGSS10,Colorless,80,Basic,,Cosmos Holofoil,,-
Latias,HGSS Black Star Promos,HGSS10,Colorless,80,Basic,,Cracked Ice Holofoil,,-
Latios,HGSS Black Star Promos,HGSS11,Colorless,90,Basic,,Cosmos Holofoil,,-
Latios,HGSS Black Star Promos,HGSS11,Colorless,90,Basic,,Cracked Ice Holofoil,,-
Cleffa,HGSS Black Star Promos,HGSS12,Colorless,30,Basic,,,,-
Smoochum,HGSS Black Star Promos,HGSS13,Psychic,30,Basic,,,,-
Lapras,HGSS Black Star Promos,HGSS14,Water,90,Basic,,,,-
Shuckle,HGSS Black Star Promos,HGSS15,Fighting,60,Basic,,,,-
Plusle,HGSS Black Star Promos,HGSS16,Lightning,60,Basic,,,,-
Minun,HGSS Black Star Promos,HGSS17,Lightning,60,Basic,,,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,Top Thirty-Two Stamp,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,Top Sixteen Stamp,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,Quarter Finalist Stamp,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,Semi-Finalist Stamp,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,Finalist Stamp,,-
Tropical Tidal Wave,HGSS Black Star Promos,HGSS18,Trainer,,Trainer,,Staff Stamp,,-
Raikou,HGSS Black Star Promos,HGSS19,Lightning,80,Basic,,,,-
Entei,HGSS Black Star Promos,HGSS20,Fire,80,Basic,,,,-
Suicune,HGSS Black Star Promos,HGSS21,Water,80,Basic,,,,-
Porygon,HGSS Black Star Promos,HGSS22,Colorless,50,Basic,,,,-
Porygon2,HGSS Black Star Promos,HGSS23,Colorless,80,Stage 1,,,,-
Hitmonchan,HGSS Black Star Promos,HGSS24,Fighting,70,Basic,,,,-
Hitmonlee,HGSS Black Star Promos,HGSS25,Fighting,80,Basic,,,,-
Snivy,BW Black Star Promos,BW01,Grass,60,Basic,,,,-
Tepig,BW Black Star Promos,BW02,Fire,70,Basic,,,,-
Oshawott,BW Black Star Promos,BW03,Water,60,Basic,,,,-
Reshiram,BW Black Star Promos,BW04,Fire,130,Basic,,,,-
Zekrom,BW Black Star Promos,BW05,Lightning,130,Basic,,,,-
Snivy,BW Black Star Promos,BW06,Grass,60,Basic,,,,-
Tepig,BW Black Star Promos,BW07,Fire,60,Basic,,,,-
Oshawott,BW Black Star Promos,BW08,Water,60,Basic,,,,-
Zoroark,BW Black Star Promos,BW09,Darkness,100,Stage 1,,,,-
Axew,BW Black Star Promos,BW10,Colorless,50,Basic,,,,-
Pansage,BW Black Star Promos,BW11,Grass,60,Basic,,,,-
Zorua,BW Black Star Promos,BW12,Darkness,60,Basic,,,,-
Minccino,BW Black Star Promos,BW13,Colorless,50,Basic,,Cosmos Holofoil,,-
Minccino,BW Black Star Promos,BW13,Colorless,50,Basic,,Cracked Ice Holofoil,,-
Pansage,BW Black Star Promos,BW14,Grass,60,Basic,,,,-
Pidove,BW Black Star Promos,BW15,Colorless,50,Basic,,,,-
Axew,BW Black Star Promos,BW16,Colorless,50,Basic,,,,-
Ducklett,BW Black Star Promos,BW17,Water,60,Basic,,,,-
Darumaka,BW Black Star Promos,BW18,Fire,60,Basic,,,,-
Zoroark,BW Black Star Promos,BW19,Darkness,100,Stage 1,,,,-
Serperior,BW Black Star Promos,BW20,Grass,130,Stage 2,,,,-
Emboar,BW Black Star Promos,BW21,Fire,150,Stage 2,,,,-
Samurott,BW Black Star Promos,BW22,Water,140,Stage 2,,,,-
Reshiram,BW Black Star Promos,BW23,Fire,130,Basic,,,,-
Zekrom,BW Black Star Promos,BW24,Lightning,130,Basic,,,,-
Scraggy,BW Black Star Promos,BW25,Darkness,50,Basic,,Cosmos Holofoil,,-
Scraggy,BW Black Star Promos,BW25,Darkness,50,Basic,,Cracked Ice Holofoil,,-
Axew,BW Black Star Promos,BW26,Colorless,50,Basic,,,,-
Litwick,BW Black Star Promos,BW27,Psychic,50,Basic,,,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,Top Thirty-Two Stamp,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,Top Sixteen Stamp,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,Quarter Finalist Stamp,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,Semi-Finalist Stamp,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,Finalist Stamp,,-
Tropical Beach,BW Black Star Promos,BW28,Trainer,,Stadium,,Staff Stamp,,-
Victory Cup,BW Black Star Promos,BW29,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW29,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW29,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW29,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW30,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW30,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW30,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW30,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW31,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW31,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW31,Trainer,,Item,,Autumn 2011 Stamp,,-
Victory Cup,BW Black Star Promos,BW31,Trainer,,Item,,Autumn 2011 Stamp,,-
Victini,BW Black Star Promos,BW32,Fire,60,Basic,,,,-
Riolu,BW Black Star Promos,BW33,Fighting,60,Basic,,Cosmos Holofoil,,-
Riolu,BW Black Star Promos,BW33,Fighting,60,Basic,,Non Holofoil,,-
Luxio,BW Black Star Promos,BW34,Lightning,80,Stage 1,,Cosmos Holofoil,,-
Luxio,BW Black Star Promos,BW34,Lightning,80,Stage 1,,Cracked Ice Holofoil,,-
Meowth,BW Black Star Promos,BW35,Colorless,60,Basic,,,,-
Reshiram-EX,BW Black Star Promos,BW36,Fire,180,Basic,,,,-
Kyurem-EX,BW Black Star Promos,BW37,Water,180,Basic,,,,-
Zekrom-EX,BW Black Star Promos,BW38,Lightning,180,Basic,,,,-
Battle City,BW Black Star Promos,BW39,Trainer,,Stadium,,,,-
Volcarona,BW Black Star Promos,BW40,Fire,110,Stage 1,,,,-
Volcarona,BW Black Star Promos,BW40,Fire,110,Stage 1,,Staff Stamp,,-
Thundurus,BW Black Star Promos,BW41,Lightning,110,Basic,,,,-
Tornadus,BW Black Star Promos,BW42,Colorless,110,Basic,,,,-
Landorus,BW Black Star Promos,BW43,Fighting,110,Basic,,,,-
Kyurem,BW Black Star Promos,BW44,Water,130,Basic,,,,-
Mewtwo-EX,BW Black Star Promos,BW45,Psychic,170,Basic,,,,-
Darkrai-EX,BW Black Star Promos,BW46,Darkness,180,Basic,,,,-
Rayquaza-EX,BW Black Star Promos,BW47,Dragon,170,Basic,,,,-
Altaria,BW Black Star Promos,BW48,Dragon,70,Basic,,,,-
Altaria,BW Black Star Promos,BW48,Dragon,70,Basic,,Staff Stamp,,-
Lilligant,BW Black Star Promos,BW49,Grass,90,Stage 1,,,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,Top Thirty-Two Stamp,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,Top Sixteen Stamp,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,Quarter Finalist Stamp,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,Semi-Finalist Stamp,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,Finalist Stamp,,-
Tropical Beach,BW Black Star Promos,BW50,Trainer,,Stadium,,Staff Stamp,,-
Crobat,BW Black Star Promos,BW51,Psychic,130,Stage 2,,,,-
Crobat,BW Black Star Promos,BW51,Psychic,130,Stage 2,,Staff Stamp,,-
Lillipup,BW Black Star Promos,BW52,Colorless,50,Basic,,,,-
Flygon,BW Black Star Promos,BW53,Dragon,140,Stage 2,,,,-
Flygon,BW Black Star Promos,BW53,Dragon,140,Stage 2,,Staff Stamp,,-
Pikachu,BW Black Star Promos,BW54,Lightning,60,Basic,,,,-
Elgyem,BW Black Star Promos,BW55,Psychic,60,Basic,,,,-
Empoleon,BW Black Star Promos,BW56,Water,140,Stage 2,,,,-
Haxorus,BW Black Star Promos,BW57,Dragon,140,Stage 2,,,,-
Black Kyurem,BW Black Star Promos,BW58,Dragon,130,Basic,,,,-
White Kyurem,BW Black Star Promos,BW59,Dragon,130,Basic,,,,-
Keldeo,BW Black Star Promos,BW60,Water,90,Basic,,Tinsel Holofoil,,-
Keldeo,BW Black Star Promos,BW60,Water,90,Basic,,Non Holofoil,,-
Keldeo-EX,BW Black Star Promos,BW61,Water,170,Basic,,,,-
Black Kyurem-EX,BW Black Star Promos,BW62,Dragon,180,Basic,,,,-
White Kyurem-EX,BW Black Star Promos,BW63,Dragon,180,Basic,,,,-
Drifblim,BW Black Star Promos,BW64,Psychic,100,Stage 1,,Pixel Cosmos Holofoil,,-
Drifblim,BW Black Star Promos,BW64,Psychic,100,Stage 1,,Smooth Cosmos Holofoil,,-
Jigglypuff,BW Black Star Promos,BW65,Colorless,60,Basic,,,,-
Ninetales,BW Black Star Promos,BW66,Fire,90,Stage 1,,Pixel Cosmos Holofoil,,-
Ninetales,BW Black Star Promos,BW66,Fire,90,Stage 1,,Smooth Cosmos Holofoil,,-
Ampharos,BW Black Star Promos,BW67,Lightning,140,Stage 2,,Pixel Cosmos Holofoil,,-
Ampharos,BW Black Star Promos,BW67,Lightning,140,Stage 2,,Smooth Cosmos Holofoil,,-
Meloetta,BW Black Star Promos,BW68,Psychic,80,Basic,,,,-
Meloetta,BW Black Star Promos,BW69,Fighting,80,Basic,,,,-
Virizion,BW Black Star Promos,BW70,Grass,100,Basic,,,,-
Terrakion,BW Black Star Promos,BW71,Fighting,130,Basic,,,,-
Cobalion,BW Black Star Promos,BW72,Metal,120,Basic,,,,-
Darkrai,BW Black Star Promos,BW73,Darkness,110,Basic,,,,-
Giratina,BW Black Star Promos,BW74,Psychic,130,Basic,,,,-
